model,accuracy,f1,precision,recall
LogisticRegression,0.8828077064670512,0.8704996948945691,0.8767413275061459,0.8643463040258517
LogisticRegression,0.8816419192538962,0.8691138553399376,0.8760686683537378,0.8622685964321777
LogisticRegression,0.8830224567431587,0.8711432530161197,0.8746606948968513,0.8676539885560417
XGBClassifier,0.8837894220149711,0.8723461616229696,0.8733468286099865,0.8713477851083883
XGBClassifier,0.8851086022824887,0.8734669054296044,0.8768145434812101,0.8701447324133288
XGBClassifier,0.8792796662167137,0.8671819623991629,0.8696181965881398,0.8647593402894648
RandomForestClassifier,0.8514234875444839,0.8350195878044626,0.8451830908213227,0.8250976168035546
RandomForestClassifier,0.8532948828077065,0.8378763222131814,0.8439997267946179,0.831841130932346
RandomForestClassifier,0.852466560314149,0.8372093023255814,0.8420264197194607,0.8324469875462807
